5; 0,5; 0; 0; 3; -;
4; 0,4; 45; -2; 2,5; -;
4; 0,4; -45; +2; 2,5; -;
3; 0,4; 0; 0; -1; -;
0,65; 0,35; 0; 0; 0; +;
0,65; 0,35; 0; 0,75; 0; +;
0,65; 0,35; 0; 1,5; 0; +;
0,65; 0,35; 0; 2,25; 0; +;
0,65; 0,35; 0; -0,75; 0; +;
0,65; 0,35; 0; -1,5; 0; +;
0,65; 0,35; 0; -2,25; 0; +;
0,65; 0,35; 0; 0; 0,4; +;
0,65; 0,35; 0; 0,75; 0,4; +;
0,65; 0,35; 0; 1,5; 0,4; +;
0,65; 0,35; 0; 2,25; 0,4; +;
0,65; 0,35; 0; -0,75; 0,4; +;
0,65; 0,35; 0; -1,5; 0,4; +;
0,65; 0,35; 0; -2,25; 0,4; +;
0,65; 0,35; 0; 0; -0,4; +;
0,65; 0,35; 0; 0,75; -0,4; +;
0,65; 0,35; 0; 1,5; -0,4; +;
0,65; 0,35; 0; 2,25; -0,4; +;
0,65; 0,35; 0; -0,75; -0,4; +;
0,65; 0,35; 0; -1,5; -0,4; +;
0,65; 0,35; 0; -2,25; -0,4; +;


