4; -0,4; 45; 3; -2,5; -;
4; -0,4; -45; -3; -2,5; -;
2; -2,4; 25; 3; -2,5; -;
2; -2,4; -25; -3; 2,5; -;
0,65; 0,35; 0; 0; 0; +;
0,65; 0,35; 0; 0,85; 0; +;
0,65; 0,35; 0; 1,7; 0; +;
0,65; 0,35; 0; 2,55; 0; +;
0,65; 0,35; 0; -0,85; 0; +;
0,65; 0,35; 0; -1,7; 0; +;
0,65; 0,35; 0; -2,55; 0; +;
0,65; 0,35; 0; 0; 0,4; +;
0,65; 0,35; 0; 0,85; 0,4; +;
0,65; 0,35; 0; 1,7; 0,4; +;
0,65; 0,35; 0; 2,55; 0,4; +;
0,65; 0,35; 0; -0,85; 0,4; +;
0,65; 0,35; 0; -1,7; 0,4; +;
0,65; 0,35; 0; -2,55; 0,4; +;
0,65; 0,35; 0; 0; -0,4; +;
0,65; 0,35; 0; 0,85; -0,4; +;
0,65; 0,35; 0; 1,7; -0,4; +;
0,65; 0,35; 0; 2,55; -0,4; +;
0,65; 0,35; 0; -0,85; -0,4; +;
0,65; 0,35; 0; -1,7; -0,4; +;
0,65; 0,35; 0; -2,55; -0,4; +;

